sport,player,stat,line,opponent,game_date,risk_type
WNBA,A'ja Wilson,PRA,39,NYL,2026-06-23,NORMAL
WNBA,Breanna Stewart,PRA,29.5,LVA,2026-06-23,NORMAL
WNBA,Jackie Young,PRA,28.5,NYL,2026-06-23,NORMAL
WNBA,Jonquel Jones,PRA,24.5,LVA,2026-06-23,NORMAL
WNBA,Chelsea Gray,PRA,22.5,NYL,2026-06-23,NORMAL
WNBA,Sabrina Ionescu,PRA,21.5,LVA,2026-06-23,NORMAL
WNBA,Satou Sabally,PRA,20.5,LVA,2026-06-23,NORMAL
WNBA,NaLyssa Smith,PRA,17.5,NYL,2026-06-23,NORMAL
WNBA,A'ja Wilson,PRA,36.5,NYL,2026-06-23,GOBLIN
WNBA,Breanna Stewart,PRA,27.5,LVA,2026-06-23,GOBLIN
WNBA,Jackie Young,PRA,26.5,NYL,2026-06-23,GOBLIN
WNBA,Jonquel Jones,PRA,22.5,LVA,2026-06-23,GOBLIN
WNBA,Chelsea Gray,PRA,20.5,NYL,2026-06-23,GOBLIN
WNBA,Sabrina Ionescu,PRA,20.5,LVA,2026-06-23,GOBLIN
WNBA,Satou Sabally,PRA,18.5,LVA,2026-06-23,GOBLIN
WNBA,A'ja Wilson,PRA,34.5,NYL,2026-06-23,GOBLIN
WNBA,Breanna Stewart,PRA,24.5,LVA,2026-06-23,GOBLIN
WNBA,Jackie Young,PRA,24.5,NYL,2026-06-23,GOBLIN
WNBA,Jonquel Jones,PRA,19.5,LVA,2026-06-23,GOBLIN
WNBA,Chelsea Gray,PRA,19.5,NYL,2026-06-23,GOBLIN
WNBA,Sabrina Ionescu,PRA,19.5,LVA,2026-06-23,GOBLIN
WNBA,Satou Sabally,PRA,28.5,LVA,2026-06-23,DEMON
WNBA,A'ja Wilson,PRA,49.5,NYL,2026-06-23,DEMON
WNBA,Breanna Stewart,PRA,39.5,LVA,2026-06-23,DEMON
WNBA,Jackie Young,PRA,39.5,NYL,2026-06-23,DEMON
WNBA,Jonquel Jones,PRA,34.5,LVA,2026-06-23,DEMON
WNBA,Chelsea Gray,PRA,29.5,NYL,2026-06-23,DEMON
WNBA,Sabrina Ionescu,PRA,29.5,LVA,2026-06-23,DEMON
WNBA,Satou Sabally,PRA,26.5,LVA,2026-06-23,DEMON
WNBA,A'ja Wilson,PRA,44.5,NYL,2026-06-23,DEMON
WNBA,Breanna Stewart,PRA,35.5,LVA,2026-06-23,DEMON
WNBA,Jackie Young,PRA,34.5,NYL,2026-06-23,DEMON
WNBA,Jonquel Jones,PRA,29.5,LVA,2026-06-23,DEMON
WNBA,Chelsea Gray,PRA,26.5,NYL,2026-06-23,DEMON
WNBA,Sabrina Ionescu,PRA,28.5,LVA,2026-06-23,DEMON
WNBA,Satou Sabally,PRA,24.5,LVA,2026-06-23,DEMON
WNBA,A'ja Wilson,PRA,42.5,NYL,2026-06-23,DEMON
WNBA,Breanna Stewart,PRA,34.5,LVA,2026-06-23,DEMON
WNBA,Jonquel Jones,PRA,28.5,LVA,2026-06-23,DEMON
WNBA,Chelsea Gray,PRA,24.5,NYL,2026-06-23,DEMON
WNBA,Sabrina Ionescu,PRA,24.5,LVA,2026-06-23,DEMON
