player,stat,line,opponent,game_date,risk_type
Olivia Miles,PRA,29,PDX,2026-06-15,NORMAL
Olivia Miles,PRA,24.5,PDX,2026-06-15,GOBLIN
Chelsea Gray,PRA,22.5,DAL,2026-06-15,NORMAL
Arike Ogunbowale,Rebounds,3.5,LVA,2026-06-15,DEMON
Arike Ogunbowale,Rebounds,3,LVA,2026-06-15,NORMAL
Olivia Miles,Points,16.5,PDX,2026-06-15,NORMAL
Olivia Miles,Points,19.5,PDX,2026-06-15,DEMON
Kelsey Plum,PRA,29,GSV,2026-06-15,NORMAL
Jackie Young,PRA,27.5,DAL,2026-06-15,NORMAL
Jackie Young,PRA,29.5,DAL,2026-06-15,DEMON
Nneka Ogwumike,PRA,25.5,GSV,2026-06-15,NORMAL
A'ja Wilson,Points,19.5,DAL,2026-06-15,GOBLIN
Kelsey Plum,Assists,6.5,GSV,2026-06-15,DEMON
Kayla McBride,Assists,2.5,PDX,2026-06-15,NORMAL
Kelsey Plum,Fantasy Score,33,GSV,2026-06-15,NORMAL
Olivia Miles,Pts+Asts,23.5,PDX,2026-06-15,NORMAL
Jackie Young,Pts+Asts,23.5,DAL,2026-06-15,NORMAL
Chelsea Gray,Fantasy Score,28.5,DAL,2026-06-15,NORMAL
Paige Bueckers,FG Attempted,13.5,LVA,2026-06-15,NORMAL
Paige Bueckers,Points,14.5,LVA,2026-06-15,GOBLIN
