sport,player,stat,line,opponent,game_date,risk_type
WNBA,Sonia Citron,PTS,16.5,GSV,2026-07-06,NORMAL
WNBA,Gabby Williams,PTS,14.5,WAS,2026-07-06,NORMAL
WNBA,Kiki Iriafen,PTS,14.5,GSV,2026-07-06,NORMAL
WNBA,Shakira Austin,PTS,11.5,GSV,2026-07-06,NORMAL
WNBA,Veronica Burton,PTS,11.5,WAS,2026-07-06,NORMAL
WNBA,Janelle Salaün,PTS,10.5,WAS,2026-07-06,NORMAL
WNBA,Cecilia Zandalasini,PTS,8.5,WAS,2026-07-06,NORMAL
WNBA,Kayla Thornton,PTS,8.5,WAS,2026-07-06,NORMAL
WNBA,Michaela Onyenwere,PTS,9.5,GSV,2026-07-06,NORMAL
WNBA,Natasha Howard,PTS,16.5,CON,2026-07-06,NORMAL
WNBA,Olivia Miles,PTS,18.5,CON,2026-07-06,NORMAL
WNBA,Courtney Williams,PTS,15.5,CON,2026-07-06,NORMAL
WNBA,Kayla McBride,PTS,15.5,CON,2026-07-06,NORMAL
WNBA,Leila Lacan,PTS,11.5,MIN,2026-07-06,NORMAL
WNBA,Nia Coffey,PTS,8.5,CON,2026-07-06,NORMAL
WNBA,Brittney Griner,PTS,10.5,MIN,2026-07-06,NORMAL
WNBA,Olivia Nelson-Ododa,PTS,9.5,MIN,2026-07-06,NORMAL
WNBA,Dominique Malonga,PTS,18.5,LAS,2026-07-06,NORMAL
WNBA,Nneka Ogwumike,PTS,17.5,SEA,2026-07-06,NORMAL
WNBA,Natisha Hiedeman,PTS,15.5,LAS,2026-07-06,NORMAL
WNBA,Rae Burrell,PTS,15.5,SEA,2026-07-06,NORMAL
WNBA,Dearica Hamby,PTS,15.5,SEA,2026-07-06,NORMAL
WNBA,Awa Fam,PTS,12.5,LAS,2026-07-06,NORMAL
WNBA,Flau'jae Johnson,PTS,11.5,LAS,2026-07-06,NORMAL
WNBA,Ariel Atkins,PTS,9.5,SEA,2026-07-06,NORMAL
WNBA,Sonia Citron,PTS,14.5,GSV,2026-07-06,GOBLIN
WNBA,Gabby Williams,PTS,11.5,WAS,2026-07-06,GOBLIN
WNBA,Kiki Iriafen,PTS,11.5,GSV,2026-07-06,GOBLIN
WNBA,Shakira Austin,PTS,9.5,GSV,2026-07-06,GOBLIN
WNBA,Veronica Burton,PTS,9.5,WAS,2026-07-06,GOBLIN
WNBA,Janelle Salaün,PTS,9.5,WAS,2026-07-06,GOBLIN
WNBA,Cecilia Zandalasini,PTS,7.5,WAS,2026-07-06,GOBLIN
WNBA,Kayla Thornton,PTS,7.5,WAS,2026-07-06,GOBLIN
WNBA,Michaela Onyenwere,PTS,7.5,GSV,2026-07-06,GOBLIN
WNBA,Natasha Howard,PTS,14.5,CON,2026-07-06,GOBLIN
WNBA,Olivia Miles,PTS,14.5,CON,2026-07-06,GOBLIN
WNBA,Courtney Williams,PTS,14.5,CON,2026-07-06,GOBLIN
WNBA,Kayla McBride,PTS,14.5,CON,2026-07-06,GOBLIN
WNBA,Leila Lacan,PTS,9.5,MIN,2026-07-06,GOBLIN
WNBA,Nia Coffey,PTS,14.5,CON,2026-07-06,DEMON
WNBA,Brittney Griner,PTS,9.5,MIN,2026-07-06,GOBLIN
WNBA,Olivia Nelson-Ododa,PTS,14.5,MIN,2026-07-06,DEMON
WNBA,Dominique Malonga,PTS,14.5,LAS,2026-07-06,GOBLIN
WNBA,Nneka Ogwumike,PTS,14.5,SEA,2026-07-06,GOBLIN
WNBA,Natisha Hiedeman,PTS,14.5,LAS,2026-07-06,GOBLIN
WNBA,Rae Burrell,PTS,14.5,SEA,2026-07-06,GOBLIN
WNBA,Dearica Hamby,PTS,11.5,SEA,2026-07-06,GOBLIN
WNBA,Awa Fam,PTS,11.5,LAS,2026-07-06,GOBLIN
WNBA,Flau'jae Johnson,PTS,9.5,LAS,2026-07-06,GOBLIN
WNBA,Ariel Atkins,PTS,7.5,SEA,2026-07-06,GOBLIN
WNBA,Sonia Citron,PTS,11.5,GSV,2026-07-06,GOBLIN
WNBA,Gabby Williams,PTS,19.5,WAS,2026-07-06,DEMON
WNBA,Kiki Iriafen,PTS,19.5,GSV,2026-07-06,DEMON
WNBA,Shakira Austin,PTS,7.5,GSV,2026-07-06,GOBLIN
WNBA,Veronica Burton,PTS,7.5,WAS,2026-07-06,GOBLIN
WNBA,Janelle Salaün,PTS,7.5,WAS,2026-07-06,GOBLIN
WNBA,Cecilia Zandalasini,PTS,5.5,WAS,2026-07-06,GOBLIN
WNBA,Kayla Thornton,PTS,5.5,WAS,2026-07-06,GOBLIN
WNBA,Michaela Onyenwere,PTS,5.5,GSV,2026-07-06,GOBLIN
WNBA,Natasha Howard,PTS,24.5,CON,2026-07-06,DEMON
WNBA,Olivia Miles,PTS,24.5,CON,2026-07-06,DEMON
WNBA,Courtney Williams,PTS,19.5,CON,2026-07-06,DEMON
WNBA,Kayla McBride,PTS,19.5,CON,2026-07-06,DEMON
WNBA,Leila Lacan,PTS,19.5,MIN,2026-07-06,DEMON
WNBA,Nia Coffey,PTS,9.5,CON,2026-07-06,DEMON
WNBA,Brittney Griner,PTS,14.5,MIN,2026-07-06,DEMON
WNBA,Olivia Nelson-Ododa,PTS,9.5,MIN,2026-07-06,NORMAL
WNBA,Dominique Malonga,PTS,24.5,LAS,2026-07-06,DEMON
WNBA,Nneka Ogwumike,PTS,11.5,SEA,2026-07-06,GOBLIN
WNBA,Natisha Hiedeman,PTS,11.5,LAS,2026-07-06,GOBLIN
WNBA,Rae Burrell,PTS,11.5,SEA,2026-07-06,GOBLIN
WNBA,Dearica Hamby,PTS,19.5,SEA,2026-07-06,DEMON
WNBA,Awa Fam,PTS,9.5,LAS,2026-07-06,GOBLIN
WNBA,Flau'jae Johnson,PTS,7.5,LAS,2026-07-06,GOBLIN
WNBA,Ariel Atkins,PTS,17.5,SEA,2026-07-06,DEMON
WNBA,Sonia Citron,PTS,24.5,GSV,2026-07-06,DEMON
WNBA,Gabby Williams,PTS,17.5,WAS,2026-07-06,DEMON
WNBA,Kiki Iriafen,PTS,17.5,GSV,2026-07-06,DEMON
WNBA,Shakira Austin,PTS,19.5,GSV,2026-07-06,DEMON
WNBA,Veronica Burton,PTS,19.5,WAS,2026-07-06,DEMON
WNBA,Janelle Salaün,PTS,17.5,WAS,2026-07-06,DEMON
WNBA,Cecilia Zandalasini,PTS,14.5,WAS,2026-07-06,DEMON
WNBA,Kayla Thornton,PTS,14.5,WAS,2026-07-06,DEMON
WNBA,Michaela Onyenwere,PTS,14.5,GSV,2026-07-06,DEMON
WNBA,Natasha Howard,PTS,19.5,CON,2026-07-06,DEMON
WNBA,Olivia Miles,PTS,18.5,CON,2026-07-06,NORMAL
WNBA,Courtney Williams,PTS,15.5,CON,2026-07-06,NORMAL
WNBA,Kayla McBride,PTS,15.5,CON,2026-07-06,NORMAL
WNBA,Leila Lacan,PTS,14.5,MIN,2026-07-06,DEMON
WNBA,Nia Coffey,PTS,8.5,CON,2026-07-06,NORMAL
WNBA,Brittney Griner,PTS,10.5,MIN,2026-07-06,NORMAL
WNBA,Olivia Nelson-Ododa,PTS,9.5,MIN,2026-07-06,NORMAL
WNBA,Dominique Malonga,PTS,19.5,LAS,2026-07-06,DEMON
WNBA,Nneka Ogwumike,PTS,24.5,SEA,2026-07-06,DEMON
WNBA,Natisha Hiedeman,PTS,24.5,LAS,2026-07-06,DEMON
WNBA,Rae Burrell,PTS,24.5,SEA,2026-07-06,DEMON
WNBA,Dearica Hamby,PTS,17.5,SEA,2026-07-06,DEMON
WNBA,Awa Fam,PTS,19.5,LAS,2026-07-06,DEMON
WNBA,Flau'jae Johnson,PTS,19.5,LAS,2026-07-06,DEMON
WNBA,Ariel Atkins,PTS,14.5,SEA,2026-07-06,DEMON
WNBA,Sonia Citron,PTS,19.5,GSV,2026-07-06,DEMON
WNBA,Gabby Williams,PTS,14.5,WAS,2026-07-06,NORMAL
WNBA,Kiki Iriafen,PTS,14.5,GSV,2026-07-06,NORMAL
WNBA,Shakira Austin,PTS,17.5,GSV,2026-07-06,DEMON
WNBA,Veronica Burton,PTS,17.5,WAS,2026-07-06,DEMON
WNBA,Janelle Salaün,PTS,14.5,WAS,2026-07-06,DEMON
WNBA,Cecilia Zandalasini,PTS,11.5,WAS,2026-07-06,DEMON
WNBA,Kayla Thornton,PTS,11.5,WAS,2026-07-06,DEMON
WNBA,Michaela Onyenwere,PTS,11.5,GSV,2026-07-06,DEMON
WNBA,Natasha Howard,PTS,16.5,CON,2026-07-06,NORMAL
WNBA,Olivia Miles,PTS,18.5,CON,2026-07-06,NORMAL
WNBA,Courtney Williams,PTS,15.5,CON,2026-07-06,NORMAL
WNBA,Kayla McBride,PTS,15.5,CON,2026-07-06,NORMAL
WNBA,Leila Lacan,PTS,11.5,MIN,2026-07-06,NORMAL
WNBA,Nia Coffey,PTS,8.5,CON,2026-07-06,NORMAL
WNBA,Brittney Griner,PTS,10.5,MIN,2026-07-06,NORMAL
WNBA,Olivia Nelson-Ododa,PTS,9.5,MIN,2026-07-06,NORMAL
WNBA,Dominique Malonga,PTS,18.5,LAS,2026-07-06,NORMAL
WNBA,Nneka Ogwumike,PTS,19.5,SEA,2026-07-06,DEMON
WNBA,Natisha Hiedeman,PTS,19.5,LAS,2026-07-06,DEMON
WNBA,Rae Burrell,PTS,19.5,SEA,2026-07-06,DEMON
WNBA,Dearica Hamby,PTS,15.5,SEA,2026-07-06,NORMAL
WNBA,Awa Fam,PTS,17.5,LAS,2026-07-06,DEMON
WNBA,Flau'jae Johnson,PTS,17.5,LAS,2026-07-06,DEMON
WNBA,Ariel Atkins,PTS,11.5,SEA,2026-07-06,DEMON
WNBA,Sonia Citron,PTS,17.5,GSV,2026-07-06,DEMON
WNBA,Gabby Williams,PTS,14.5,WAS,2026-07-06,NORMAL
WNBA,Kiki Iriafen,PTS,14.5,GSV,2026-07-06,NORMAL
WNBA,Shakira Austin,PTS,14.5,GSV,2026-07-06,DEMON
WNBA,Veronica Burton,PTS,14.5,WAS,2026-07-06,DEMON
WNBA,Janelle Salaün,PTS,11.5,WAS,2026-07-06,DEMON
WNBA,Cecilia Zandalasini,PTS,8.5,WAS,2026-07-06,NORMAL
WNBA,Kayla Thornton,PTS,9.5,WAS,2026-07-06,DEMON
WNBA,Michaela Onyenwere,PTS,9.5,GSV,2026-07-06,NORMAL
WNBA,Natasha Howard,PTS,16.5,CON,2026-07-06,NORMAL
WNBA,Olivia Miles,PTS,18.5,CON,2026-07-06,NORMAL
WNBA,Courtney Williams,PTS,15.5,CON,2026-07-06,NORMAL
WNBA,Kayla McBride,PTS,15.5,CON,2026-07-06,NORMAL
WNBA,Leila Lacan,PTS,11.5,MIN,2026-07-06,NORMAL
WNBA,Nia Coffey,PTS,8.5,CON,2026-07-06,NORMAL
WNBA,Brittney Griner,PTS,10.5,MIN,2026-07-06,NORMAL
WNBA,Olivia Nelson-Ododa,PTS,9.5,MIN,2026-07-06,NORMAL
WNBA,Dominique Malonga,PTS,18.5,LAS,2026-07-06,NORMAL
WNBA,Nneka Ogwumike,PTS,17.5,SEA,2026-07-06,NORMAL
WNBA,Natisha Hiedeman,PTS,17.5,LAS,2026-07-06,DEMON
WNBA,Rae Burrell,PTS,17.5,SEA,2026-07-06,DEMON
WNBA,Dearica Hamby,PTS,15.5,SEA,2026-07-06,NORMAL
WNBA,Awa Fam,PTS,14.5,LAS,2026-07-06,DEMON
WNBA,Flau'jae Johnson,PTS,14.5,LAS,2026-07-06,DEMON
