sport,player,stat,line,opponent,game_date,risk_type
WNBA,Kelsey Mitchell,PTS,21.5,GSV,2026-07-15,NORMAL
WNBA,Caitlin Clark,PTS,15.5,GSV,2026-07-15,NORMAL
WNBA,Aliyah Boston,PTS,15.5,GSV,2026-07-15,NORMAL
WNBA,Janelle Salaün,PTS,13.5,IND,2026-07-15,NORMAL
WNBA,Gabby Williams,PTS,13.5,IND,2026-07-15,NORMAL
WNBA,Veronica Burton,PTS,11.5,IND,2026-07-15,NORMAL
WNBA,Monique Billings,PTS,4.5,GSV,2026-07-15,GOBLIN
WNBA,Sophie Cunningham,PTS,4.5,GSV,2026-07-15,GOBLIN
WNBA,Kelsey Mitchell,PTS,19.5,GSV,2026-07-15,GOBLIN
WNBA,Caitlin Clark,PTS,14.5,GSV,2026-07-15,GOBLIN
WNBA,Aliyah Boston,PTS,14.5,GSV,2026-07-15,GOBLIN
WNBA,Janelle Salaün,PTS,11.5,IND,2026-07-15,GOBLIN
WNBA,Gabby Williams,PTS,11.5,IND,2026-07-15,GOBLIN
WNBA,Veronica Burton,PTS,9.5,IND,2026-07-15,GOBLIN
WNBA,Monique Billings,PTS,14.5,GSV,2026-07-15,DEMON
WNBA,Sophie Cunningham,PTS,14.5,GSV,2026-07-15,DEMON
WNBA,Kelsey Mitchell,PTS,17.5,GSV,2026-07-15,GOBLIN
WNBA,Caitlin Clark,PTS,11.5,GSV,2026-07-15,GOBLIN
WNBA,Aliyah Boston,PTS,11.5,GSV,2026-07-15,GOBLIN
WNBA,Janelle Salaün,PTS,9.5,IND,2026-07-15,GOBLIN
WNBA,Gabby Williams,PTS,9.5,IND,2026-07-15,GOBLIN
WNBA,Veronica Burton,PTS,7.5,IND,2026-07-15,GOBLIN
WNBA,Monique Billings,PTS,11.5,GSV,2026-07-15,DEMON
WNBA,Sophie Cunningham,PTS,9.5,GSV,2026-07-15,DEMON
WNBA,Kelsey Mitchell,PTS,14.5,GSV,2026-07-15,GOBLIN
WNBA,Caitlin Clark,PTS,9.5,GSV,2026-07-15,GOBLIN
WNBA,Aliyah Boston,PTS,9.5,GSV,2026-07-15,GOBLIN
WNBA,Janelle Salaün,PTS,24.5,IND,2026-07-15,DEMON
WNBA,Gabby Williams,PTS,24.5,IND,2026-07-15,DEMON
WNBA,Veronica Burton,PTS,19.5,IND,2026-07-15,DEMON
WNBA,Monique Billings,PTS,9.5,GSV,2026-07-15,DEMON
WNBA,Sophie Cunningham,PTS,7.5,GSV,2026-07-15,GOBLIN
WNBA,Kelsey Mitchell,PTS,34.5,GSV,2026-07-15,DEMON
WNBA,Caitlin Clark,PTS,29.5,GSV,2026-07-15,DEMON
WNBA,Aliyah Boston,PTS,24.5,GSV,2026-07-15,DEMON
WNBA,Janelle Salaün,PTS,19.5,IND,2026-07-15,DEMON
WNBA,Gabby Williams,PTS,19.5,IND,2026-07-15,DEMON
WNBA,Veronica Burton,PTS,17.5,IND,2026-07-15,DEMON
WNBA,Monique Billings,PTS,7.5,GSV,2026-07-15,DEMON
WNBA,Sophie Cunningham,PTS,4.5,GSV,2026-07-15,GOBLIN
WNBA,Kelsey Mitchell,PTS,29.5,GSV,2026-07-15,DEMON
WNBA,Caitlin Clark,PTS,24.5,GSV,2026-07-15,DEMON
WNBA,Aliyah Boston,PTS,19.5,GSV,2026-07-15,DEMON
WNBA,Janelle Salaün,PTS,17.5,IND,2026-07-15,DEMON
WNBA,Gabby Williams,PTS,17.5,IND,2026-07-15,DEMON
WNBA,Veronica Burton,PTS,14.5,IND,2026-07-15,DEMON
WNBA,Monique Billings,PTS,5.5,GSV,2026-07-15,GOBLIN
WNBA,Sophie Cunningham,PTS,14.5,GSV,2026-07-15,DEMON
WNBA,Kelsey Mitchell,PTS,24.5,GSV,2026-07-15,DEMON
WNBA,Caitlin Clark,PTS,19.5,GSV,2026-07-15,DEMON
WNBA,Aliyah Boston,PTS,17.5,GSV,2026-07-15,DEMON
WNBA,Janelle Salaün,PTS,14.5,IND,2026-07-15,DEMON
WNBA,Gabby Williams,PTS,14.5,IND,2026-07-15,DEMON
WNBA,Veronica Burton,PTS,11.5,IND,2026-07-15,NORMAL
WNBA,Monique Billings,PTS,4.5,GSV,2026-07-15,GOBLIN
WNBA,Sophie Cunningham,PTS,9.5,GSV,2026-07-15,DEMON
WNBA,Kelsey Mitchell,PTS,21.5,GSV,2026-07-15,NORMAL
WNBA,Caitlin Clark,PTS,17.5,GSV,2026-07-15,DEMON
WNBA,Aliyah Boston,PTS,15.5,GSV,2026-07-15,NORMAL
WNBA,Janelle Salaün,PTS,13.5,IND,2026-07-15,NORMAL
WNBA,Gabby Williams,PTS,13.5,IND,2026-07-15,NORMAL
WNBA,Veronica Burton,PTS,11.5,IND,2026-07-15,NORMAL
WNBA,Monique Billings,PTS,14.5,GSV,2026-07-15,DEMON
WNBA,Sophie Cunningham,PTS,7.5,GSV,2026-07-15,GOBLIN
