sport,player,stat,line,opponent,game_date,risk_type
WNBA,Gabby Williams,PTS,15.5,MIN,2026-06-19,NORMAL
WNBA,Jonquel Jones,PTS,13.5,WAS,2026-06-19,NORMAL
WNBA,Olivia Miles,PRA,28.5,GSV,2026-06-19,NORMAL
WNBA,Olivia Miles,PTS,17,GSV,2026-06-19,NORMAL
WNBA,Marina Mabrey,PRA,27.5,CON,2026-06-19,NORMAL
WNBA,Sabrina Ionescu,PRA,22.5,WAS,2026-06-19,NORMAL
WNBA,Gabby Williams,PRA,22.5,MIN,2026-06-19,NORMAL
WNBA,Sonia Citron,PRA,23.5,NYL,2026-06-19,NORMAL
WNBA,Olivia Miles,Pts+Asts,22.5,GSV,2026-06-19,NORMAL
WNBA,Courtney Williams,REB,5.5,GSV,2026-06-19,NORMAL
WNBA,Michaela Onyenwere,PTS,11.5,NYL,2026-06-19,DEMON
WNBA,Brittney Griner,Pts+Rebs,16.5,TOR,2026-06-19,NORMAL
WNBA,Breanna Stewart,PTS,14.5,WAS,2026-06-19,GOBLIN
WNBA,Jonquel Jones,Pts+Asts,16.5,WAS,2026-06-19,NORMAL
WNBA,Brittney Griner,PRA,19.5,TOR,2026-06-19,NORMAL
WNBA,Gabby Williams,PTS,11.5,MIN,2026-06-19,GOBLIN
WNBA,Jonquel Jones,PTS,14.5,WAS,2026-06-19,DEMON
WNBA,Olivia Miles,PRA,29.5,GSV,2026-06-19,DEMON
WNBA,Olivia Miles,PTS,19.5,GSV,2026-06-19,DEMON
WNBA,Gabby Williams,PTS,17.5,MIN,2026-06-19,DEMON
WNBA,Olivia Miles,PRA,29.5,GSV,2026-06-19,DEMON
WNBA,Olivia Miles,PTS,19.5,GSV,2026-06-19,DEMON
