player,stat,line,opponent,game_date,risk_type
Stephon Castle,PTS,16.5,NYK,2026-06-13,NORMAL
Stephon Castle,PTS,11.5,NYK,2026-06-13,GOBLIN
Stephon Castle,PTS,12.5,NYK,2026-06-13,GOBLIN
Stephon Castle,PTS,13.5,NYK,2026-06-13,GOBLIN
Stephon Castle,PTS,14.5,NYK,2026-06-13,GOBLIN
Stephon Castle,PTS,18.5,NYK,2026-06-13,DEMON
Stephon Castle,PTS,19.5,NYK,2026-06-13,DEMON
Stephon Castle,PTS,20.5,NYK,2026-06-13,DEMON
Stephon Castle,PTS,24.5,NYK,2026-06-13,DEMON
Stephon Castle,AST,6.5,NYK,2026-06-13,NORMAL
Stephon Castle,AST,4.5,NYK,2026-06-13,GOBLIN
Stephon Castle,AST,5.5,NYK,2026-06-13,GOBLIN
Stephon Castle,AST,7.5,NYK,2026-06-13,DEMON
Stephon Castle,AST,8.5,NYK,2026-06-13,DEMON
Stephon Castle,AST,9.5,NYK,2026-06-13,DEMON
Stephon Castle,AST,10.5,NYK,2026-06-13,DEMON
Victor Wembanyama,PRA,43.5,NYK,2026-06-13,NORMAL
Victor Wembanyama,PRA,44.5,NYK,2026-06-13,DEMON
Victor Wembanyama,PRA,49.5,NYK,2026-06-13,DEMON
Victor Wembanyama,PRA,54.5,NYK,2026-06-13,DEMON
Victor Wembanyama,PRA,39.5,NYK,2026-06-13,GOBLIN
Victor Wembanyama,PRA,34.5,NYK,2026-06-13,GOBLIN
Victor Wembanyama,PRA,40.5,NYK,2026-06-13,GOBLIN
Victor Wembanyama,FGA,19.5,NYK,2026-06-13,NORMAL
Victor Wembanyama,PTS,28,NYK,2026-06-13,NORMAL
Victor Wembanyama,PTS,22.5,NYK,2026-06-13,GOBLIN
Victor Wembanyama,PTS,23.5,NYK,2026-06-13,GOBLIN
Victor Wembanyama,PTS,24.5,NYK,2026-06-13,GOBLIN
Victor Wembanyama,PTS,25.5,NYK,2026-06-13,GOBLIN
Victor Wembanyama,PTS,29.5,NYK,2026-06-13,DEMON
Victor Wembanyama,PTS,31.5,NYK,2026-06-13,DEMON
Victor Wembanyama,PTS,33.5,NYK,2026-06-13,DEMON
Victor Wembanyama,PTS,34.5,NYK,2026-06-13,DEMON
Dylan Harper,PTS,15.5,NYK,2026-06-13,NORMAL
Dylan Harper,PTS,9.5,NYK,2026-06-13,GOBLIN
Dylan Harper,PTS,10.5,NYK,2026-06-13,GOBLIN
Dylan Harper,PTS,11.5,NYK,2026-06-13,GOBLIN
Dylan Harper,PTS,12.5,NYK,2026-06-13,GOBLIN
Dylan Harper,PTS,16.5,NYK,2026-06-13,DEMON
Dylan Harper,PTS,17.5,NYK,2026-06-13,DEMON
Dylan Harper,PTS,18.5,NYK,2026-06-13,DEMON
Dylan Harper,PTS,19.5,NYK,2026-06-13,DEMON
Dylan Harper,PRA,24.5,NYK,2026-06-13,NORMAL
Dylan Harper,PRA,18.5,NYK,2026-06-13,GOBLIN
Dylan Harper,PRA,19.5,NYK,2026-06-13,GOBLIN
Dylan Harper,PRA,22.5,NYK,2026-06-13,GOBLIN
Dylan Harper,PRA,29.5,NYK,2026-06-13,DEMON
Dylan Harper,PRA,34.5,NYK,2026-06-13,DEMON
OG Anunoby,PTS,18.5,SAS,2026-06-13,NORMAL
OG Anunoby,PTS,12.5,SAS,2026-06-13,GOBLIN
OG Anunoby,PTS,13.5,SAS,2026-06-13,GOBLIN
OG Anunoby,PTS,14.5,SAS,2026-06-13,GOBLIN
OG Anunoby,PTS,16.5,SAS,2026-06-13,GOBLIN
OG Anunoby,PTS,19.5,SAS,2026-06-13,DEMON
OG Anunoby,PTS,20.5,SAS,2026-06-13,DEMON
OG Anunoby,PTS,22.5,SAS,2026-06-13,DEMON
OG Anunoby,PTS,24.5,SAS,2026-06-13,DEMON
OG Anunoby,PRA,25.5,SAS,2026-06-13,NORMAL
OG Anunoby,PRA,19.5,SAS,2026-06-13,GOBLIN
OG Anunoby,PRA,20.5,SAS,2026-06-13,GOBLIN
OG Anunoby,PRA,21.5,SAS,2026-06-13,GOBLIN
